beef,2
bun,2
lettuce,2
tomato,2
dough,1
tomato sauce,1
mozzarella cheese,1
pepperoni,1
rice,1
beans,1
cheese,2
salsa,1
tortilla chips,2
guacamole,2
potatoes,2
vegetable oil,2
salt,1
paprika,2
fish,3
lemon,3
olive oil,2
milk,2
rennet,2
chicken,2
pepper,1
garlic powder,1
pasta,2
water,2
chicken wings,1
hot sauce,1
steak,2
garlic,2
ground beef,3
breadcrumbs,3
onion,3
egg,3
pork chops,1
porkchops,1
bacon,2
mayonnaise,2
paneer,3
lemon juice,3
cauliflower,2
parmesan,2
chickpeas,3
parsley,3
cumin,3
potato,3
banana,1
potassium,1
vitamin B6,1
dietary fiber,1
french fries,3
cheese curds,3
gravy,3
macaroni,3
butter,3
beef patty,3
eggs,1
chives,1
